Titre,Price,Localisation,Size,Nb_pieces,Nb_chambre,Nb_Salles_bain,Etat,Old,Etage,Caracteristiques_supplementaires,URL
Appartement deux chambres à louer,6 200 DH,"Mozart à
							
							Tanger","92
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,5-10 ans,"3ème
					étage",|Meublé|Terrasse|Garage|Ascenseur|Concierge|Salon européen|Climatisation|Double vitrage|Antenne parabolique|Sécurité|Marbre|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7010671/appartement-deux-chambres-%C3%A0-louer
Appartement de Haut Standing au Quartier ADM,9 000 DH,"Administratif à
							
							Tanger","140
					m²",5 Pièces,3 Chambres,2 Salles de bains,Nouveau,,,|Terrasse|Garage|Ascenseur|Concierge|Climatisation|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/7001436/appartement-de-haut-standing-au-quartier-adm
Studio meublé à louer,4 500 DH,"Malabata à
							
							Tanger","47
					m²",2 Pièces,1 Chambre,1 Salle de bain,Bon état,5-10 ans,"1er
					étage",|Meublé|Garage|Ascenseur|Concierge|Salon Marocain|Salon européen|Double vitrage|Antenne parabolique|Sécurité|Carrelage|Cuisine équipée|Four|Machine à laver|TV,https://www.mubawab.ma/fr/a/6985740/studio-meubl%C3%A9-%C3%A0-louer
Appartement complexe el baraka 2 aouama tanger,1 600 DH,"Aouama Gharbia à
							
							Tanger","61
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,1-5 ans,"1er
					étage",|Terrasse|Ascenseur|Sécurité|Porte blindée|Carrelage,https://www.mubawab.ma/fr/a/7010639/appartement-complexe-el-baraka-2-aouama-tanger
Bel appart meublé près de l'ENCG,4 600 DH,"Mesnana à
							
							Tanger","90
					m²",4 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Meublé|Garage|Cuisine équipée,https://www.mubawab.ma/fr/a/6987930/bel-appart-meubl%C3%A9-pr%C3%A8s-de-l-encg
Joli appartement meuble a iberia,12 500 DH,"Iberie à
							
							Tanger","125
					m²",3 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé,https://www.mubawab.ma/fr/a/6989813/joli-appartement-meuble-a-iberia
Appartement à louer à Tanger. 2 belles chambres. Bien meublé.,,"De La Plage à
							
							Tanger","95
					m²",2 Pièces,2 Chambres,2 Salles de bains,Bon état,5-10 ans,"2ème
					étage",|Meublé|Terrasse|Garage|Ascenseur|Concierge|Vue sur mer|Salon Marocain|Salon européen|Double vitrage|Antenne parabolique|Porte blindée|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7010489/appartement-%C3%A0-louer-%C3%A0-tanger-2-belles-chambres-bien-meubl%C3%A9-
Spacieux retrait au quartier administratif,10 500 DH,"Administratif à
							
							Tanger","160
					m²",3 Pièces,3 Chambres,2 Salles de bains,"160
					m²",,,|Garage,https://www.mubawab.ma/fr/a/6168521/spacieux-retrait-au-quartier-administratif
Louez cet appartement à Tanger. 3 belles chambres.,8 800 DH,"Iberie à
							
							Tanger","160
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,,,,https://www.mubawab.ma/fr/a/6926566/louez-cet-appartement-%C3%A0-tanger-3-belles-chambres-
Joli Appartement Meublé A Louer,13 000 DH,"Iberie à
							
							Tanger","122
					m²",3 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Garage|Cuisine équipée,https://www.mubawab.ma/fr/a/7001979/joli-appartement-meubl%C3%A9-a-louer
Superbe appartement à louer à Tanger. 2 pièces confortables. Meublé.,,"De La Plage à
							
							Tanger","90
					m²",2 Pièces,2 Chambres,2 Salles de bains,Bon état,5-10 ans,"6ème
					étage",|Meublé|Garage|Ascenseur|Concierge|Salon Marocain|Salon européen|Double vitrage|Antenne parabolique|Porte blindée|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7010465/superbe-appartement-%C3%A0-louer-%C3%A0-tanger-2-pi%C3%A8ces-confortables-meubl%C3%A9-
Appartement chambre salon à louer,4 500 DH,"Centre à
							
							Tanger","75
					m²",2 Pièces,1 Chambre,1 Salle de bain,Nouveau,,"6ème
					étage",|Meublé|Terrasse|Garage|Ascenseur|Concierge|Salon Marocain|Double vitrage|Antenne parabolique|Sécurité|Carrelage|Cuisine équipée|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7010420/appartement-chambre-salon-%C3%A0-louer
Appartement meublé en plein centre ville,4 000 DH,"Centre à
							
							Tanger","80
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Meublé,https://www.mubawab.ma/fr/a/6993994/appartement-meubl%C3%A9-en-plein-centre-ville
Appartement a louer centre ville NEJMA TANGER,5 200 DH,"Centre à
							
							Tanger","130
					m²",4 Pièces,3 Chambres,3 Salles de bains,Bon état,,,|Terrasse|Garage|Ascenseur|Concierge|Vue sur mer|Salon Marocain|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/7010251/appartement-a-louer-centre-ville-nejma-tanger
Magnifique appartement meuble a louer ibiria CENTRE,7 100 DH,"Iberie à
							
							Tanger","120
					m²",1 Pièce ,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Terrasse|Garage|Ascenseur|Concierge|Vue sur mer|Chambre rangement|Salon Marocain|Sécurité|Cuisine équipée,https://www.mubawab.ma/fr/a/6976444/magnifique-appartement-meuble-a-louer-ibiria-centre
Très bel appartement en location à Tanger. 1 belle chambre. Meublé,2 200 DH,"Médina à
							
							Tanger","50
					m²",2 Pièces,1 Chambre,1 Salle de bain,Bon état,5-10 ans,"1er
					étage",|Meublé|Concierge|Antenne parabolique|Carrelage|Cuisine équipée|Four|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7010242/tr%C3%A8s-bel-appartement-en-location-%C3%A0-tanger-1-belle-chambre-meubl%C3%A9
Appertement a louer av 4 pieces VIDE. Rue la plage,5 500 DH,"De La Plage à
							
							Tanger","130
					m²",4 Pièces,3 Chambres,3 Salles de bains,Nouveau,5-10 ans,"5ème
					étage",|Terrasse|Garage|Ascenseur|Concierge|Vue sur mer|Vue sur les montagnes|Salon Marocain|Salon européen|Climatisation|Chauffage central|Antenne parabolique|Sécurité|Carrelage|Cuisine équipée,https://www.mubawab.ma/fr/a/7010036/appertement-a-louer-av-4-pieces-vide-rue-la-plage
Appartement neuf jamais habitier,5 000 DH,"Casabarata à
							
							Tanger","100
					m²",2 Pièces,2 Chambres,2 Salles de bains,Nouveau,,"2ème
					étage",|Ascenseur|Concierge|Double vitrage|Porte blindée|Marbre|Cuisine équipée,https://www.mubawab.ma/fr/a/7010003/appartement-neuf-jamais-habitier
Appartement haut standing jbel kbir,9 000 DH,"Rmilat à
							
							Tanger","144
					m²",3 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,"1er
					étage",|Terrasse|Garage|Ascenseur|Jardin|Concierge|Vue sur les montagnes|Climatisation|Double vitrage|Antenne parabolique|Sécurité|Porte blindée|Marbre|Cuisine équipée|Four,https://www.mubawab.ma/fr/a/7009998/appartement-haut-standing-jbel-kbir
Belle appartement vue sur mer 3 ch,5 500 DH,"Centre à
							
							Tanger","130
					m²",4 Pièces,3 Chambres,3 Salles de bains,Bon état,1-5 ans,"2ème
					étage",|Terrasse|Garage|Ascenseur|Concierge|Vue sur mer|Double vitrage|Antenne parabolique|Sécurité|Porte blindée|Carrelage,https://www.mubawab.ma/fr/a/7009984/belle-appartement-vue-sur-mer-3-ch
Location Appartement 52 m² CENTRE VILLE Tanger Ref: LA559,5 200 DH,"Centre à
							
							Tanger","52
					m²",2 Pièces,1 Chambre,1 Salle de bain,"52
					m²",,,|Meublé|Garage|Sécurité|Cuisine équipée|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6992596/location-appartement-52-m%C2%B2-centre-ville-tanger-ref-la559
Location Appartement 120 m² ROUTE DE RABAT Tanger,5 500 DH,"Marjane à
							
							Tanger","120
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Ascenseur|Jardin|Concierge|Salon européen|Antenne parabolique|Sécurité|Carrelage|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6965919/location-appartement-120-m%C2%B2-route-de-rabat-tanger
Location Appartement 220 m² QUARTIER WILAYA Tanger Ref: LA540,10 000 DH,Tanger,"220
					m²",,,,,,,|Garage|Ascenseur|Sécurité,https://www.mubawab.ma/fr/a/6902176/location-appartement-220-m%C2%B2-quartier-wilaya-tanger-ref-la540
Location Appartement 100 m² PLAYA TANGER Tanger,8 500 DH,Tanger,"100
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Garage|Vue sur mer|Sécurité|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6997087/location-appartement-100-m%C2%B2-playa-tanger-tanger
Location Appartement 127 m² QUARTIER ESPAGNOL Tanger. Ref LA478,6 500 DH,"Centre à
							
							Tanger","127
					m²",4 Pièces,3 Chambres,1 Salle de bain,Bon état,5-10 ans,"4ème
					étage",|Meublé|Terrasse|Garage|Ascenseur|Sécurité|Carrelage|Cuisine équipée,https://www.mubawab.ma/fr/a/6984681/location-appartement-127-m%C2%B2-quartier-espagnol-tanger-ref-la478
"Location Appartement 130 m², MOHAMMED V Tanger Ref: LA454",13 000 DH,Tanger,"130
					m²",3 Pièces,2 Chambres,2 Salles de bains,"130
					m²",,,|Meublé|Terrasse|Garage|Piscine|Jardin|Sécurité,https://www.mubawab.ma/fr/a/6883238/location-appartement-130-m%C2%B2-mohammed-v-tanger-ref-la454
Location Appartement 200 m² IBERIA Tanger.,9 000 DH,"Iberie à
							
							Tanger","200
					m²",,,,,,,|Garage|Sécurité,https://www.mubawab.ma/fr/a/6997086/location-appartement-200-m%C2%B2-iberia-tanger-
Appartement à louer Tanger,6 500 DH,"Centre à
							
							Tanger","60
					m²",2 Pièces,1 Chambre,1 Salle de bain,Bon état,,,|Meublé|Garage|Ascenseur|Piscine|Vue sur mer|Cuisine équipée,https://www.mubawab.ma/fr/a/6651694/appartement-%C3%A0-louer-tanger
Appartement à louer Tanger,7 000 DH,"Centre à
							
							Tanger","118
					m²",4 Pièces,3 Chambres,1 Salle de bain,Nouveau,,,|Meublé|Cuisine équipée,https://www.mubawab.ma/fr/a/6644291/appartement-%C3%A0-louer-tanger
Appartement à louer Tanger,8 000 DH,"Achakar à
							
							Tanger","130
					m²",4 Pièces,3 Chambres,1 Salle de bain,Bon état,,,|Meublé|Garage|Piscine|Jardin,https://www.mubawab.ma/fr/a/6644490/appartement-%C3%A0-louer-tanger
Bel Appartement meublé en Location à Tanger,7 000 DH,"Malabata à
							
							Tanger","100
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,,,|Meublé|Garage|Ascenseur|Concierge|Salon européen|Antenne parabolique|Sécurité|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7001061/bel-appartement-meubl%C3%A9-en-location-%C3%A0-tanger
Bel appartement meublé à louer,4 000 DH,"Route Nationale Assilah (N1) à
							
							Tanger","90
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Meublé|Garage|Ascenseur|Concierge|Salon Marocain|Sécurité|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7004111/bel-appartement-meubl%C3%A9-%C3%A0-louer
Bel Appartement meublé en location,10 000 DH,"Centre à
							
							Tanger","140
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Garage|Ascenseur|Concierge|Salon Marocain|Salon européen|Climatisation|Chauffage central|Antenne parabolique|Cheminée|Sécurité|Cuisine équipée|Four|Machine à laver|Micro-ondes|TV|Internet,https://www.mubawab.ma/fr/a/7009773/bel-appartement-meubl%C3%A9-en-location
Appartement Vide à Louer – Boulevard – Tanger,5 000 DH,"Centre à
							
							Tanger","106
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,5-10 ans,"6ème
					étage",|Terrasse|Garage|Ascenseur|Piscine|Concierge|Salon Marocain|Salon européen|Climatisation|Chauffage central|Double vitrage|Porte blindée|Marbre|Cuisine équipée|Four|TV,https://www.mubawab.ma/fr/a/6824569/appartement-vide-%C3%A0-louer-%E2%80%93-boulevard-%E2%80%93-tanger
Appart 3 Chambres en plein centre ville,7 000 DH,"Centre à
							
							Tanger","120
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Garage|Ascenseur|Concierge|Salon Marocain|Climatisation|Cuisine équipée|Four|Machine à laver|Réfrigérateur,https://www.mubawab.ma/fr/a/7009554/appart-3-chambres-en-plein-centre-ville
A louer loft sur Tanger Boulevard /Alquiler loft,6 500 DH,"Centre à
							
							Tanger","70
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,5-10 ans,,|Meublé|Terrasse|Garage|Ascenseur|Piscine|Concierge|Chambre rangement|Salon européen|Climatisation|Chauffage central|Double vitrage|Antenne parabolique|Marbre|Cuisine équipée|Four|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7009454/a-louer-loft-sur-tanger-boulevard-alquiler-loft
Location d'un magnifique appartement vue sur mer,8 500 DH,"Centre à
							
							Tanger","104
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,10-20 ans,"7ème
					étage",|Meublé|Terrasse|Garage|Ascenseur|Concierge|Vue sur mer|Chambre rangement|Salon européen|Climatisation|Double vitrage|Antenne parabolique|Sécurité|Marbre|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV|Internet,https://www.mubawab.ma/fr/a/7008991/location-d-un-magnifique-appartement-vue-sur-mer
Magnifique appartement meublé avec une belle vue à,10 000 DH,"Californie à
							
							Tanger","140
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,,,|Meublé|Cuisine équipée,https://www.mubawab.ma/fr/a/7008335/magnifique-appartement-meubl%C3%A9-avec-une-belle-vue-%C3%A0
Appartement meuble en location,9 500 DH,"Malabata à
							
							Tanger","100
					m²",2 Pièces,2 Chambres,2 Salles de bains,"100
					m²",,,|Meublé|Cuisine équipée,https://www.mubawab.ma/fr/a/6856226/appartement-meuble-en-location
Spacieux appartement meuble tanger city center,"17 000 DH
											par jour","Malabata à
							
							Tanger","150
					m²",3 Pièces,3 Chambres,2 Salles de bains,Nouveau,,,|Meublé|Garage,https://www.mubawab.ma/fr/a/6708944/spacieux-appartement-meuble-tanger-city-center
Appartement meuble a nejma,8 000 DH,"Administratif à
							
							Tanger",,,,,,,,|Meublé|Salon Marocain|Marbre,https://www.mubawab.ma/fr/a/6996069/appartement-meuble-a-nejma
Appartement moderne a louer,5 300 DH,"Malabata à
							
							Tanger","70
					m²",2 Pièces,2 Chambres,1 Salle de bain,Bon état,,,|Meublé,https://www.mubawab.ma/fr/a/6993065/appartement-moderne-a-louer
Spacieux appartement avec vue sur mer,8 000 DH,"De La Plage à
							
							Tanger","105
					m²",4 Pièces,2 Chambres,2 Salles de bains,Bon état,5-10 ans,,|Meublé|Garage|Ascenseur|Vue sur mer|Salon européen|Double vitrage|Antenne parabolique|Cuisine équipée|Four|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7004270/spacieux-appartement-avec-vue-sur-mer
Appartement a louer complexe avec piscine/,9 000 DH,"De La Plage à
							
							Tanger","130
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,,,|Meublé|Terrasse|Garage|Ascenseur|Piscine|Jardin|Concierge|Vue sur mer|Vue sur les montagnes|Chambre rangement|Salon européen|Climatisation|Double vitrage|Antenne parabolique|Sécurité|Porte blindée|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6973085/appartement-a-louer-complexe-avec-piscine-
Appartement de 140 m² en face de la plage,5 500 DH,"De La Plage à
							
							Tanger","140
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,"2ème
					étage",|Ascenseur|Concierge|Antenne parabolique|Marbre,https://www.mubawab.ma/fr/a/7008263/appartement-de-140-m%C2%B2-en-face-de-la-plage
Appart a louer dans une résidence fermée,2 700 DH,"Mesnana à
							
							Tanger","85
					m²",4 Pièces,3 Chambres,1 Salle de bain,Bon état,,,|Jardin|Concierge,https://www.mubawab.ma/fr/a/7008002/appart-a-louer-dans-une-r%C3%A9sidence-ferm%C3%A9e
Joli appartement 3 chambres à louer,7 000 DH,"Castilla à
							
							Tanger","120
					m²",4 Pièces,3 Chambres,2 Salles de bains,Nouveau,1-5 ans,"5ème
					étage",|Meublé|Terrasse|Garage|Ascenseur|Concierge|Salon Marocain|Salon européen|Climatisation|Antenne parabolique|Sécurité|Marbre|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6985770/joli-appartement-3-chambres-%C3%A0-louer
A louer un grand appartement F4 non meublé au cent,7 500 DH,"Centre à
							
							Tanger","150
					m²",4 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,"4ème
					étage",|Terrasse|Garage|Ascenseur|Piscine|Jardin|Concierge|Vue sur mer|Chambre rangement|Salon Marocain|Salon européen|Climatisation|Double vitrage|Antenne parabolique|Sécurité|Porte blindée|Cuisine équipée,https://www.mubawab.ma/fr/a/6965465/a-louer-un-grand-appartement-f4-non-meubl%C3%A9-au-cent
Appartement vide avec terrasse à louer,4 000 DH,"Castilla à
							
							Tanger",,,,,,,,,https://www.mubawab.ma/fr/a/7007938/appartement-vide-avec-terrasse-%C3%A0-louer
Appartement vue sur mer à louer,9 000 DH,"Centre à
							
							Tanger","125
					m²",4 Pièces,2 Chambres,1 Salle de bain,Bon état,10-20 ans,"4ème
					étage",|Meublé|Terrasse|Ascenseur|Concierge|Vue sur mer|Salon Marocain|Salon européen|Climatisation|Antenne parabolique|Sécurité|Carrelage|Cuisine équipée|Four|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7001257/appartement-vue-sur-mer-%C3%A0-louer
Appartement a 2 chambres avec balcon,3 000 DH,"Moujahidine à
							
							Tanger","85
					m²",3 Pièces,2 Chambres,2 Salles de bains,Nouveau,,"2ème
					étage",|Ascenseur|Concierge|Chambre rangement|Sécurité|Marbre,https://www.mubawab.ma/fr/a/7007676/appartement-a-2-chambres-avec-balcon
Appartement avec terasse et 2 facade,3 500 DH,"Moujahidine à
							
							Tanger","110
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,,"5ème
					étage",|Sécurité|Marbre,https://www.mubawab.ma/fr/a/7007666/appartement-avec-terasse-et-2-facade
Maison a louer,3 000 DH,"Marjane à
							
							Tanger","110
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,,"2ème
					étage",|Sécurité|Parquet,https://www.mubawab.ma/fr/a/7007661/maison-a-louer
Maison a cote de la maison de la presse tanger,3 000 DH,"Marjane à
							
							Tanger","110
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,1-5 ans,"2ème
					étage",|Sécurité|Marbre,https://www.mubawab.ma/fr/a/7007576/maison-a-cote-de-la-maison-de-la-presse-tanger
Bel appartement F2 meublé à TANGER Centre,4 500 DH,"De La Plage à
							
							Tanger","75
					m²",2 Pièces,1 Chambre,2 Salles de bains,Bon état,1-5 ans,"8ème
					étage",|Meublé|Terrasse|Garage|Ascenseur|Concierge|Salon Marocain|Antenne parabolique|Carrelage|Cuisine équipée|Four|Machine à laver|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/6994106/bel-appartement-f2-meubl%C3%A9-%C3%A0-tanger-centre
Appartement F3 meublé à TANGER – Corniche,5 500 DH,"Tanger City Center à
							
							Tanger","70
					m²",3 Pièces,2 Chambres,1 Salle de bain,Bon état,5-10 ans,"14ème
					étage",|Meublé|Garage|Ascenseur|Concierge|Salon européen|Climatisation|Sécurité|Carrelage|Cuisine équipée|Four|Machine à laver|Micro-ondes|Réfrigérateur|TV,https://www.mubawab.ma/fr/a/7005722/appartement-f3-meubl%C3%A9-%C3%A0-tanger-%E2%80%93-corniche
